Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6030076,MH_12,COUNTRY,SSD,AFR,Africa,YEAR,2012,SEX,SEX_MLE,,,,,,,10.4 [5.8-17.6],10.3915,5.82,17.5831,,2021-02-09T17:13:42Z,2012,2012-01-01,2012-12-31
6032122,MH_12,COUNTRY,GRC,EUR,Europe,YEAR,2001,SEX,SEX_BTSX,,,,,,,2.5 [2.1-3.0],2.52,2.11,2.99,,2021-02-09T16:44:23Z,2001,2001-01-01,2001-12-31
6032511,MH_12,COUNTRY,EST,EUR,Europe,YEAR,2002,SEX,SEX_FMLE,,,,,,,7.8 [6.2-9.7],7.78,6.16,9.74,,2021-02-09T16:39:17Z,2002,2002-01-01,2002-12-31
6033890,MH_12,COUNTRY,PRT,EUR,Europe,YEAR,2014,SEX,SEX_FMLE,,,,,,,4.4 [3.6-22.8],4.42,3.6,22.8046,,2021-02-09T17:08:26Z,2014,2014-01-01,2014-12-31
6034728,MH_12,COUNTRY,GMB,AFR,Africa,YEAR,2014,SEX,SEX_BTSX,,,,,,,10.6 [5.6-17.9],10.5792,5.63,17.9476,,2021-02-09T16:43:20Z,2014,2014-01-01,2014-12-31
6035800,MH_12,COUNTRY,KIR,WPR,Western Pacific,YEAR,2004,SEX,SEX_BTSX,,,,,,,32.0 [20.4-46.6],31.9915,20.4268,46.607,,2021-02-09T16:52:31Z,2004,2004-01-01,2004-12-31
6036082,MH_12,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2006,SEX,SEX_BTSX,,,,,,,3.7 [2.0-6.1],3.65,1.99,6.11,,2021-02-09T17:19:39Z,2006,2006-01-01,2006-12-31
6036094,MH_12,COUNTRY,SRB,EUR,Europe,YEAR,2001,SEX,SEX_MLE,,,,,,,27.9 [21.2-34.7],27.927,21.1887,34.73,,2021-02-09T17:13:22Z,2001,2001-01-01,2001-12-31
6036289,MH_12,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2013,SEX,SEX_MLE,,,,,,,6.3 [3.7-10.5],6.29,3.68,10.5358,,2021-02-09T16:19:56Z,2013,2013-01-01,2013-12-31
6036719,MH_12,COUNTRY,COL,AMR,Americas,YEAR,2015,SEX,SEX_MLE,,,,,,,6.5 [5.4-12.5],6.5,5.38,12.518,,2021-02-09T16:33:35Z,2015,2015-01-01,2015-12-31
6037535,MH_12,COUNTRY,SEN,AFR,Africa,YEAR,2009,SEX,SEX_BTSX,,,,,,,12.4 [7.9-18.7],12.3892,7.9,18.6899,,2021-02-09T17:11:17Z,2009,2009-01-01,2009-12-31
6039289,MH_12,COUNTRY,KGZ,EUR,Europe,YEAR,2004,SEX,SEX_MLE,,,,,,,24.2 [20.7-28.1],24.2373,20.6721,28.1458,,2021-02-09T16:51:50Z,2004,2004-01-01,2004-12-31
6039774,MH_12,COUNTRY,TCD,AFR,Africa,YEAR,2012,SEX,SEX_MLE,,,,,,,24.0 [14.0-37.3],23.9785,14.0251,37.3393,,2021-02-09T17:16:50Z,2012,2012-01-01,2012-12-31
